Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,USDINR,1094,FUTCUR,XX,-1,USDINR,USDINR15MAR24F,USDINR 15th MAR FUT,2024-03-15,1,0.0025
CDS,cde_fo,GBPUSD,1095,OPTCUR,CE,1.335,GBPUSD,GBPUSD29JAN24C1.335,GBPUSD JAN 1.335 CE,2024-01-29,1,0.0001
CDS,cde_fo,GBPUSD,1096,OPTCUR,PE,1.335,GBPUSD,GBPUSD29JAN24P1.335,GBPUSD JAN 1.335 PE,2024-01-29,1,0.0001
CDS,cde_fo,EURINR,1097,OPTCUR,PE,86.25,EURINR,EURINR15MAR24P86.25,EURINR 15th MAR 86.25 PE,2024-03-15,1,0.0025
CDS,cde_fo,EURINR,1098,OPTCUR,PE,86,EURINR,EURINR27DEC24P86,EURINR 27th DEC 86 PE,2024-12-27,1,0.0025
CDS,cde_fo,USDJPY,1099,OPTCUR,CE,137.5,USDJPY,USDJPY29JAN24C137.5,USDJPY JAN 137.5 CE,2024-01-29,1,0.01
CDS,cde_fo,GBPINR,1100,OPTCUR,CE,98.75,GBPINR,GBPINR16FEB24C98.75,GBPINR 16th FEB 98.75 CE,2024-02-16,1,0.0025
CDS,cde_fo,USDJPY,1101,OPTCUR,PE,137.5,USDJPY,USDJPY29JAN24P137.5,USDJPY JAN 137.5 PE,2024-01-29,1,0.01
CDS,cde_fo,EURINR,1102,OPTCUR,CE,86.25,EURINR,EURINR27DEC24C86.25,EURINR 27th DEC 86.25 CE,2024-12-27,1,0.0025
CDS,cde_fo,EURINR,1103,OPTCUR,CE,83.75,EURINR,EURINR26JUN24C83.75,EURINR JUN 83.75 CE,2024-06-26,1,0.0025
CDS,cde_fo,EURINR,1104,OPTCUR,PE,83,EURINR,EURINR26MAR24P83,EURINR 26th MAR 83 PE,2024-03-26,1,0.0025
CDS,cde_fo,USDINR,1105,OPTCUR,CE,77,USDINR,USDINR26SEP24C77,USDINR 26th SEP 77 CE,2024-09-26,1,0.0025
CDS,cde_fo,EURINR,1106,OPTCUR,CE,84.75,EURINR,EURINR01MAR24C84.75,EURINR 1st MAR 84.75 CE,2024-03-01,1,0.0025
CDS,cde_fo,USDINR,1107,OPTCUR,PE,77,USDINR,USDINR26SEP24P77,USDINR 26th SEP 77 PE,2024-09-26,1,0.0025
CDS,cde_fo,EURINR,1108,OPTCUR,PE,84.75,EURINR,EURINR01MAR24P84.75,EURINR 1st MAR 84.75 PE,2024-03-01,1,0.0025
CDS,cde_fo,GBPINR,1109,OPTCUR,PE,98.75,GBPINR,GBPINR16FEB24P98.75,GBPINR 16th FEB 98.75 PE,2024-02-16,1,0.0025
CDS,cde_fo,EURINR,1110,OPTCUR,PE,86.25,EURINR,EURINR27DEC24P86.25,EURINR 27th DEC 86.25 PE,2024-12-27,1,0.0025
CDS,cde_fo,EURINR,1115,OPTCUR,CE,84.75,EURINR,EURINR16FEB24C84.75,EURINR 16th FEB 84.75 CE,2024-02-16,1,0.0025
CDS,cde_fo,JPYINR,1116,OPTCUR,PE,61.5,JPYINR,JPYINR29JAN24P61.5,JPYINR JAN 61.5 PE,2024-01-29,1,0.0025
CDS,cde_fo,EURINR,1118,OPTCUR,PE,84.75,EURINR,EURINR16FEB24P84.75,EURINR 16th FEB 84.75 PE,2024-02-16,1,0.0025
CDS,cde_fo,EURINR,1119,OPTCUR,PE,83.75,EURINR,EURINR26JUN24P83.75,EURINR JUN 83.75 PE,2024-06-26,1,0.0025
CDS,cde_fo,EURINR,1122,OPTCUR,CE,86.5,EURINR,EURINR27DEC24C86.5,EURINR 27th DEC 86.5 CE,2024-12-27,1,0.0025
CDS,cde_fo,EURINR,1123,OPTCUR,CE,84.75,EURINR,EURINR27FEB24C84.75,EURINR FEB 84.75 CE,2024-02-27,1,0.0025
CDS,cde_fo,EURINR,1124,OPTCUR,CE,83.25,EURINR,EURINR26MAR24C83.25,EURINR 26th MAR 83.25 CE,2024-03-26,1,0.0025
CDS,cde_fo,EURINR,1125,OPTCUR,PE,83.25,EURINR,EURINR26MAR24P83.25,EURINR 26th MAR 83.25 PE,2024-03-26,1,0.0025
CDS,cde_fo,EURINR,1127,OPTCUR,PE,86.5,EURINR,EURINR27DEC24P86.5,EURINR 27th DEC 86.5 PE,2024-12-27,1,0.0025
CDS,cde_fo,USDJPY,1128,OPTCUR,CE,138,USDJPY,USDJPY29JAN24C138,USDJPY JAN 138 CE,2024-01-29,1,0.01
CDS,cde_fo,EURINR,1129,OPTCUR,CE,84,EURINR,EURINR26JUN24C84,EURINR JUN 84 CE,2024-06-26,1,0.0025
CDS,cde_fo,EURINR,1130,OPTCUR,PE,84.75,EURINR,EURINR27FEB24P84.75,EURINR FEB 84.75 PE,2024-02-27,1,0.0025
CDS,cde_fo,GBPINR,1131,OPTCUR,CE,99.75,GBPINR,GBPINR15MAR24C99.75,GBPINR 15th MAR 99.75 CE,2024-03-15,1,0.0025
CDS,cde_fo,GBPINR,1132,OPTCUR,PE,99.75,GBPINR,GBPINR15MAR24P99.75,GBPINR 15th MAR 99.75 PE,2024-03-15,1,0.0025
CDS,cde_fo,EURINR,1133,OPTCUR,CE,85.5,EURINR,EURINR15MAR24C85.5,EURINR 15th MAR 85.5 CE,2024-03-15,1,0.0025
CDS,cde_fo,GBPINR,1134,OPTCUR,CE,111.5,GBPINR,GBPINR16FEB24C111.5,GBPINR 16th FEB 111.5 CE,2024-02-16,1,0.0025
